Date,Open,High,Low,Close,Volume,MA5,MA20,MA60,AlexanderFilter,RS,RSI,Money Flow Index,%B,10 days Volatility,30 days Volatility,Chaikin Oscilator,MACD,Accumulation and Distribution Oscillator,%K,William %R
30/06/2020,5700,5740,5660,5695,74474000,5689,5694.75,5383.666667,0.440917108,0.825,45.20547945,41.01871881,0.500647966,62.49199949,374.329623,-20411973.54,90.03205128,-2161350310,65.15151515,0.348484849
01/07/2020,5700,5800,5675,5800,63959000,5708,5695.75,5388.75,5.454545455,1.25,55.55555556,48.22927241,0.767491535,75.00166665,365.7953283,14080271.54,75.22435897,-2097391310,100,0
02/07/2020,5775,5870,5760,5870,75585500,5737,5699.75,5394.5,1.909722222,1.425531915,58.77192982,56.82885921,0.914358697,94.12757301,348.2794615,49055160.55,49.77564103,-2021805810,100,0
03/07/2020,5870,5905,5840,5870,52219000,5782,5707,5401,2.622377622,2.233333333,69.07216495,65.15888927,0.873303761,101.0061879,324.2451062,81478540.23,27.46794872,-2025822656,90.90909091,0.090909091
06/07/2020,5860,5935,5850,5935,67800000,5834,5708.75,5409.75,6.266786034,1.583333333,61.29032258,64.35505841,1.002908178,102.2692525,287.4882123,104036903.2,32.01923077,-1958022656,100,0
07/07/2020,5940,5995,5900,5990,74168000,5893,5718,5418,7.443946188,2.038461538,67.08860759,64.25146533,1.036648887,113.419575,251.0829876,119882324.6,35.83333333,-1891661814,98.94736842,0.010526316
08/07/2020,5990,6265,5980,6200,106444500,5973,5738,5425.75,11.9133574,5.92,85.54913295,72.89939618,1.203745179,162.4876918,238.7795357,151052339.1,58.52564103,-1833770946,91.27516779,0.087248322
09/07/2020,6210,6240,6030,6100,93543500,6019,5759,5433.166667,8.540925267,3.441860465,77.48691099,73.46147202,0.970148535,174.3444866,210.9481901,155529581.3,86.21794872,-1864952113,77.85234899,0.22147651
10/07/2020,6100,6240,6080,6200,67224000,6085,5785.5,5442.583333,8.676599474,4.666666667,82.35294118,79.16230829,1.00864601,179.5974666,213.1650378,140461488.6,111.6987179,-1831340113,91.27516779,0.087248322
13/07/2020,6230,6240,6140,6175,86006000,6133,5819.25,5452.25,7.860262009,3.707317073,78.75647668,79.66781264,0.924593118,170.0154405,200.314267,103181251.6,131.8910256,-1857141913,86.76470588,0.132352941
14/07/2020,6175,6200,6110,6200,45616500,6175,5841.25,5463.916667,9.831709477,3.414634146,77.3480663,74.59819864,0.899243748,150.7282323,198.3712149,86007661.82,166.6025641,-1811525413,90.44117647,0.095588235
15/07/2020,6200,6240,6150,6150,61468000,6165,5862.75,5474.5,8.370044053,2.666666667,72.72727273,74.97628215,0.808935448,131.7725313,207.5471165,49683438.72,192.9166667,-1872993413,83.08823529,0.169117647
16/07/2020,6150,6200,6140,6180,66520500,6181,5892.5,5486.083333,8.516242318,4.057142857,80.2259887,73.90788706,0.808377716,116.9401556,217.2382844,34692182.28,218.7179487,-1850819913,87.5,0.125
17/07/2020,6135,6180,6040,6120,73348000,6165,5919.75,5500.75,5.517241379,2.893617021,74.31693989,71.80865295,0.721401323,88.31760866,222.1971097,6538674.561,228.4615385,-1840341627,76.03305785,0.239669422
20/07/2020,6120,6160,6060,6140,59794500,6158,5949.75,5512.666667,4.599659284,2.893617021,74.31693989,71.53495703,0.723114549,61.58124715,228.2240614,14025730.18,232.8846154,-1804464927,78.81355932,0.211864407
21/07/2020,6100,6235,6100,6200,84159500,6158,5978.75,5526.75,5.621805792,2.70212766,72.98850575,72.23459835,0.768947519,35.07491981,236.2511023,30212659.51,233.4615385,-1763943686,87.12871287,0.128712871
